Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW37-00-002-9,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-9.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-9-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-9-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-9-c.jpg,#serie_9,2,MERGE
LCW37-00-002-10,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-10.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-10-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-10-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-10-c.jpg,#serie_10,2,MERGE
LCW37-00-002-11,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-11.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-11-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-11-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-11-c.jpg,#serie_11,2,MERGE
LCW37-00-003-1,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-1-e.jpg,#serie_1,2,MERGE
LCW37-00-003-4,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-4-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-4-e.jpg,#serie_4,2,MERGE
LCW37-00-003-5,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-5-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-5-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-5-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-5-e.jpg,#serie_5,2,MERGE
LCW37-00-003-6,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-6.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-6-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-6-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-6-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-6-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-6-e.jpg,#serie_6,2,MERGE
LCW37-00-003-7,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-7.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-7-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-7-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-7-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-7-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-7-e.jpg,#serie_7,2,MERGE
LCW37-00-004-1,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1_95.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-a_42.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-b_43.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-c_44.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-d_45.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-e_46.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-f_47.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-g_48.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-h_49.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1-i_50.jpg,#serie_1,2,MERGE
LCW37-00-004-2,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2_96.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2-a_51.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2-b_52.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2-c_53.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2-d_54.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2-e_55.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2-f_56.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2-g_57.jpg,#serie_2,2,MERGE
