Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW45-39-004-3,https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-3-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-3-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-3-e.jpg,#serie_3,2,MERGE
LCW45-39-004-5,https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-5-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-5-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-5-e.jpg,#serie_5,2,MERGE
LCW45-39-004-4,https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-4-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-4-e.jpg,#serie_4,2,MERGE
LCW45-02-005-5,https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-5_31.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-5-e_50.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-5-f_51.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-5-g_52.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-5-h_53.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-5-i_54.jpg,#serie_5,2,MERGE
LCW45-02-005-7,https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-7_33.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-7-e_60.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-7-f_61.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-7-g_62.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-7-h_63.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-7-i_64.jpg,#serie_7,2,MERGE
LCW45-02-005-3,https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-3_29.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-3-e_40.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-3-f_41.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-3-g_42.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-3-h_43.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-3-i_44.jpg,#serie_3,2,MERGE
LCW45-02-005-2,https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-2_28.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-2-e_35.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-2-f_36.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-2-g_37.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-2-h_38.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-2-i_39.jpg,#serie_2,2,MERGE
LCW45-02-005-4,https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-4_30.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-4-e_45.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-4-f_46.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-4-g_47.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-4-h_48.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-02-005-4-i_49.jpg,#serie_4,2,MERGE
LCW45-16-006-3,https://lux-case.com/media/catalog/product/l/c/lcw45-16-006-3.jpg,#serie_3,2,MERGE
LCW45-16-006-4,https://lux-case.com/media/catalog/product/l/c/lcw45-16-006-4.jpg,#serie_4,2,MERGE
